humedad,temperatura,riego_ml
23,20,275
51,23,62
31,34,398
41,28,495
88,27,0
15,32,803
32,26,413
27,20,459
56,26,0
65,26,76
41,32,444
13,28,406
42,20,268
46,15,253
41,22,344
67,37,69
10,27,216
34,33,242
34,23,311
57,15,8
47,20,474
77,25,0
62,30,56
45,15,326
60,23,72
28,30,336
75,35,0
73,39,0
74,38,0
19,36,715
72,34,0
76,30,0
10,22,273
46,15,369
70,18,55
13,19,351
14,34,887
65,34,77
63,28,92
53,28,74
22,21,422
33,35,405
60,19,100
15,21,206
86,20,0
74,22,0
52,23,38
23,17,316
76,26,0
59,27,14
77,26,0
42,28,375
73,17,0
59,31,80
83,37,0
44,32,475
84,17,0
44,15,396
40,22,392
67,21,100
42,15,378
59,37,5
34,32,315
76,23,0
58,40,77
11,28,203
77,19,0
37,32,222
48,28,465
78,15,0
53,33,61
36,23,203
10,26,220
35,27,486
11,39,785
26,16,313
28,32,631
86,27,0
33,31,362
22,37,854
11,38,744
40,28,447
33,28,236
26,37,894
85,34,0
43,40,496
28,20,439
73,19,0
15,35,782
34,17,287
33,22,400
11,21,423
24,26,340
75,24,0
85,33,0
46,29,373
28,24,306
12,20,341
28,20,498
11,40,680
